arm,chat_rate,code_rate,arrival,seed,throughput_rps,tokens_per_sec,completed,goodput,ttft_mean_ms,ttft_p90_ms,ttft_p95_ms,ttft_p99_ms,e2e_mean_ms,e2e_p90_ms,e2e_p95_ms,e2e_p99_ms,itl_mean_ms,itl_p90_ms,itl_p95_ms,itl_p99_ms,timeouts,preemptions,disagg_count,sat_level,sat_score
"agg-4xtp4","100","10","weibull","777",4.109948285393169,1435.292748200171,3910,0.15331632653061225,226.07341836734696,506.05879999999996,691.7906999999998,1158.8848699999996,22602.446171355496,40404.0452,59803.51074999997,158780.79992999992,64.25868292747415,91.192,99.466,112.223,10,0,0,"OVERLOADED",0.5114077987701248
"agg-4xtp4","100","20","poisson","42",4.693333910467727,1633.927434390645,3952,0.062421026029820574,240.1927179681577,529.9318000000001,740.0089999999998,1186.5310000000004,23759.95660450405,41958.5497,63917.89834999986,146814.74701000002,67.75105963164658,90.204,96.333,109.533,5,0,0,"OVERLOADED",0.40716858363364145
"agg-4xtp4","100","20","poisson","123",4.601183531155376,1574.7510111618935,3974,0.09806386723661051,243.97786874528538,552.2916000000001,769.6683999999998,1149.4765599999998,23035.38779667841,42854.44590000001,60496.63314999998,138607.27818999995,66.78638182791543,91.34,99.783,113.316,3,0,0,"STABLE",0.0007543374402816383
"agg-4xtp4","100","20","poisson","777",4.629294766833256,1622.9322899029153,3912,0.09260204081632653,231.40513801020407,512.1485999999999,685.8591499999993,1100.31307,22910.424359406952,41590.332200000004,58672.15374999999,140802.94702999966,64.87292768318865,90.918,98.604,112.927,8,0,0,"OVERLOADED",0.354817022702033
"agg-4xtp4","100","20","weibull","42",4.826784644237435,1710.0425771264602,4001,0.07821089455272363,247.86199375312344,545.4553,774.8445999999997,1250.53053,24268.867660334916,43554.89,64900.534,149843.124,67.9915673503924,91.537,98.733,114.104,1,0,0,"OVERLOADED",0.3716265823757864
"agg-4xtp4","100","20","weibull","123",4.497510149890006,1551.3006923719022,3978,0.09143431298668676,243.3027407686511,554.09,754.49,1179.7287999999999,23274.588269230768,41302.36520000001,59353.19994999993,147838.77859000003,66.9645759090321,90.026,95.415,106.785,3,0,0,"STABLE",0.0007535795026375469
"agg-4xtp4","100","20","weibull","777",4.383934443004903,1573.2388530529975,3988,0.06817042606516291,235.38408696741854,529.1820999999999,727.4117499999996,1119.2608900000007,23450.601260531592,39696.387500000004,60582.15539999999,168612.1241400002,64.86967488950113,87.258,93.209,106.995,2,0,0,"OVERLOADED",0.43873219949827613
"agg-4xtp4","150","0.5","poisson","42",4.498075359326356,1436.2863273866362,2255,0.9866962305986696,79.12030066518847,96.54860000000001,156.32169999999988,406.56236000000024,10549.70820886918,17111.564200000004,18747.6824,27754.94256000003,32.89173409288485,44.024,45.994,58.179,0,0,0,"STABLE",0
"agg-4xtp4","150","0.5","poisson","123",5.138934580786437,1594.0909326299986,2345,0.982089552238806,84.90679445628997,107.27439999999997,197.46539999999973,430.2738799999996,10360.730249040513,17336.560799999996,19428.879799999995,31238.486759999993,33.23120623497561,44.136,45.512,56.755,0,0,0,"STABLE",0
"agg-4xtp4","150","0.5","poisson","777",4.948560972380422,1519.9664315109785,2330,0.9811158798283262,86.48302918454937,117.52719999999998,214.3040999999999,449.8582600000002,10177.997879828326,17331.871799999997,19420.4988,28101.448840000037,32.95976402738117,44.651,46.463,56.084,0,0,0,"STABLE",0
"agg-4xtp4","150","0.5","weibull","42",4.521456941222694,1459.7788852148735,2345,0.9808102345415778,86.91650959488273,113.56479999999996,216.55119999999962,446.68519999999984,11098.17909424307,18027.5402,19775.92319999999,32147.923119999974,34.20936770753837,45.861,46.505,52.544,0,0,0,"STABLE",0
"agg-4xtp4","150","0.5","weibull","123",4.920654814557808,1519.6300099894124,2240,0.9848214285714286,76.356171875,94.74170000000002,149.40329999999966,350.1751000000005,10004.671659375,16647.041300000008,18427.079249999995,26542.371150000057,32.250404929720446,44.201,45.944,62.352,0,0,0,"STABLE",0
"agg-4xtp4","150","0.5","weibull","777",5.628293472462181,1663.226228566292,2105,0.9947743467933492,69.73830213776722,84.4038,96.7752,345.57320000000016,9224.318603800475,15445.540000000003,17025.9934,19994.84736,31.081295578493002,42.718,45.532,47.688,0,0,0,"STABLE",0
"agg-4xtp4","150","1","poisson","42",4.197150861647938,1386.7465788110903,2645,0.8657844990548205,104.19436332703214,190.51819999999998,278.3773999999995,506.25683999999995,12542.509837429112,20772.8692,23944.950999999983,59799.33379999998,37.757945045611685,51.814,55.594,64.245,0,0,0,"STABLE",0
